sample,Tannin,Phenol,Flavonoid,Antioxidant,Seed_Length,Seed_Width,Seed_Thickness,Mass_of_Seeds,Seed_Coat_Tannin,Crude_Protein,Total_Oxalate,Soluble_Oxalate,Insoluble_Oxalate,merit_index,merit_index_n_traits
TSs371,9.3044,-8.2091,-0.7323,-0.4916,0.0531,0.0284,0.0451,0.0063,6.0127,-0.0535,-4.6055,-2.0651,-2.5403,-0.09962982765052411,10
TSs27,7.6906,-2.0712,-0.4569,-1.8526,0.021,0.0169,0.0148,0.0024,-4.2687,-0.0258,,,,-0.10036028856648908,7
TSs274,13.9923,-7.2951,-0.746,-5.6984,0.023,0.0358,0.0262,0.0043,-5.2925,0.0294,9.4658,-4.2848,13.7506,-0.10375924215020653,10
TSs224,-3.6322,-3.7157,-0.2033,-3.4692,-0.0188,0.01,0.0182,0.001,1.8303,-0.0425,,,,-0.11837744908168059,7
TSs104,4.2074,-4.9609,-0.2071,-2.5044,0.0161,0.0144,0.0041,0.0016,-5.6303,-0.0431,,,,-0.12861690301997258,7
TSs336,,,,,0.0031,-0.004,0.0021,0.0006,5.0878,,,,,-0.13516772051588216,2
TSs44C,-5.5317,4.6124,-0.7449,2.1586,-0.0318,-0.0135,0.0027,-0.0018,18.8232,0.011,-7.698,1.1309,-8.8289,-0.14361680210144234,10
TSs166,7.9048,-8.3409,0.2625,0.6854,0.0274,0.0013,0.0363,0.0026,0.9273,0.5898,15.281,12.6028,2.6782,-0.15273312013424614,10
TSs158,4.256,-5.6014,-0.9293,-3.178,0.0274,0.0199,0.037,0.0032,1.3496,0.0961,,,,-0.15494548362583124,7
TSs294,4.4514,-5.4156,-0.8776,-5.014,0.0021,0.0116,0.0071,0.0012,-10.7137,-0.3093,-0.437,-2.1259,1.6889,-0.2084718296643982,10
TSs11,-11.6818,-6.8355,-2.1933,-4.5822,0.0075,0.0038,0.0026,0.0003,-4.7721,-0.093,,,,-0.2149432850187997,7
TSs378,1.1949,-5.1767,-1.3477,-1.3664,-0.0002,0.0016,-0.0038,0.0002,4.5122,0.1295,2.7998,2.0422,0.7577,-0.2278029487707347,10
TSs365,-1.4048,-0.9362,0.0002,-4.6962,-0.0925,-0.0182,0.0346,-0.0032,20.6826,-0.0511,-30.5243,-9.5342,-20.9902,-0.22785163364336114,10
TSs23,6.7391,-2.7947,0.8506,-4.4341,0.0022,0.0061,0.0131,0.0012,-0.0979,-0.1319,,,,-0.23361308706257541,7
TSs357,4.3069,1.7889,-1.2421,-5.2379,-0.0434,0.0068,0.0199,-0.0001,17.7463,-0.1744,-15.0276,-8.9007,-6.1269,-0.24848171463712196,10
TSs61,5.2702,-5.136,-1.9129,0.3474,0.0122,0.0167,0.0107,0.0018,4.5526,-0.2781,-3.5954,-3.3802,-0.2152,-0.26730490448118693,10
TSs277,1.9104,1.0032,-0.802,-2.9448,-0.0274,0.0048,0.0074,-0.0008,4.4411,-0.0248,,,,-0.27393564195255304,7
TSs133,-2.6213,5.5647,-0.937,-5.5714,-0.0733,-0.0019,0.0397,-0.0017,5.9599,-0.088,,,,-0.27630199273525413,7
TSs383,0.775,-6.3349,-1.3006,-3.1214,0.0274,0.0077,0.0265,0.0024,0.2158,-0.3651,-4.2389,-0.978,-3.2609,-0.2817569742445568,10
TSs161,10.9397,-10.7754,0.182,-5.1383,0.0505,0.0235,0.0031,0.0033,-3.1856,0.0541,,,,-0.29871056289245246,7
TSs195,11.7534,-4.0847,-0.704,0.5915,-0.0315,0.0055,0.0155,0.0002,15.5634,-0.0052,-12.5699,-4.3103,-8.2596,-0.2993814595534396,10
TSs217,4.2457,-7.335,-0.5476,11.1167,0.0083,-0.0168,-0.0152,-0.0007,11.7911,-0.2281,,,,-0.3277056364354478,7
TSs168,-10.9242,-4.1274,-0.4499,-9.4097,-0.0067,0.0196,0.005,0.0005,2.9386,-0.2988,,,,-0.3568555479928372,7
TSs311,3.104,-5.5792,-0.6729,-3.3986,0.0444,0.0179,0.0156,0.0007,0.2845,-0.1386,,,,-0.3679680651242681,7
TSs138B,12.3069,1.8489,-1.4514,-0.7932,-0.0737,-0.0141,0.0355,-0.0022,17.0266,-0.1534,-23.1265,-7.6113,-15.5152,-0.3817697600567814,10
TSs78,2.9595,-9.3471,-2.5642,-5.6717,0.067,0.0329,0.031,0.0046,-15.8016,-0.5121,-0.4951,2.8174,-3.3125,-0.384826498067179,10
TSs361,9.9445,12.2694,-1.9213,-8.9448,-0.099,-0.0142,0.0253,-0.0032,25.6902,-0.2078,-28.8133,-12.8907,-15.9226,-0.39284881821710926,10
TSs3A,8.1973,-1.9848,-0.5471,0.8278,0.0056,-0.0163,-0.0326,-0.0022,6.5913,0.044,-5.8887,4.8456,-10.7343,-0.39701370644662853,10
TSs358,9.9406,12.4885,-1.9451,-8.8841,-0.1,-0.0152,0.0247,-0.0034,26.1102,-0.2184,-28.9616,-12.8716,-16.0899,-0.40603827999276654,10
TSs303,12.7183,-5.4862,0.7489,-0.737,0.0011,-0.0181,-0.0167,-0.0018,18.0681,0.0885,,,,-0.594710116556381,7
TSs363,10.1405,4.0247,-3.8164,-3.251,-0.0759,0.0008,0.0419,-0.002,15.0825,-0.352,-24.8176,-3.4477,-21.3699,-0.65941224235585,10
TSs155,12.7672,-0.7138,-0.3799,-6.9953,-0.0817,-0.0277,0.0178,-0.0032,4.6535,-0.3132,,,,-0.8675503413871356,7
TSs24,14.9545,-14.0646,-1.6921,-12.117,0.0416,0.026,0.0024,0.0034,-5.049,-0.2094,,,,-0.9010701524868542,7
TSs111,13.5574,-0.0486,-2.7422,-2.8693,-0.0566,-0.0113,0.0152,-0.0027,7.125,-0.2751,,,,-0.9504695915993315,7
TSs156A,10.2134,6.9918,-3.484,-10.623,-0.0912,0.0071,0.0396,-0.0024,17.3065,-0.4892,,,,-1.2458902917981984,7
TSs151B,,,,,-0.0999,-0.0152,0.0236,-0.0034,26.0296,,,,,-1.875982353649729,2
