chr,start,end,strand,gene_id,name,product,note,highlight
Ss04,66977844,66980186,+,AYBTSS11_014986,Spste.TSs11.04G149860.1,hypothetical protein,"COG:S,EggNog:ENOG503GFYP",
Ss04,66981407,66988031,+,AYBTSS11_014987,Spste.TSs11.04G149870.1,hypothetical protein,"COG:D,BUSCO:EOG093607EB,EggNog:ENOG503G7TV",
Ss04,67000798,67006851,+,AYBTSS11_014988,Spste.TSs11.04G149880.1,hypothetical protein,"COG:S,EggNog:ENOG503G85K,MEROPS:MER0043008",
Ss04,67007539,67010987,-,AYBTSS11_014989,NUDT20,"Nudix hydrolase 20, chloroplastic","EggNog:ENOG503GDAA,COG:F",
Ss04,67012873,67025154,-,AYBTSS11_014990,Spste.TSs11.04G149900.1,hypothetical protein,"COG:S,EggNog:ENOG503G864",
Ss04,67030525,67038173,-,AYBTSS11_014991,Spste.TSs11.04G149910.1,hypothetical protein,"COG:S,EggNog:ENOG503G864",
Ss04,67039512,67044880,-,AYBTSS11_014992,Spste.TSs11.04G149920.1,hypothetical protein,"COG:I,MEROPS:MER0201200,EggNog:ENOG503G81H",
Ss04,67048351,67050395,+,AYBTSS11_014993,CPLS1_2,"ATP-dependent Clp protease adapter protein CLPS1, chloroplastic","EggNog:ENOG503GI7N,COG:S",
Ss04,67053087,67054553,+,AYBTSS11_014994,ASPG1,Protein ASPARTIC PROTEASE IN GUARD CELL 1,"MEROPS:MER0014035,EggNog:ENOG503GB91,COG:O",
Ss04,67058021,67073711,-,AYBTSS11_014995,Spste.TSs11.04G149950.1,hypothetical protein,"BUSCO:EOG093606MY,EggNog:ENOG503G7EH,COG:K",
Ss04,67075051,67078726,-,AYBTSS11_014996,Spste.TSs11.04G149960.1,hypothetical protein,"EggNog:ENOG503G8CE,COG:I",
Ss04,67080222,67082170,-,AYBTSS11_014997,Spste.TSs11.04G149970.1,hypothetical protein,"COG:Q,EggNog:ENOG503G7H0",
Ss04,67094311,67105049,+,AYBTSS11_014998,Spste.TSs11.04G149980.1,hypothetical protein,"COG:Q,EggNog:ENOG503G7H0",
Ss04,67108432,67110322,+,AYBTSS11_014999,Spste.TSs11.04G149990.1,hypothetical protein,"COG:Q,EggNog:ENOG503G7H0",
Ss04,67111824,67115644,+,AYBTSS11_015000,Spste.TSs11.04G150000.1,hypothetical protein,"COG:Q,EggNog:ENOG503G7H0",
Ss04,67116240,67123563,+,AYBTSS11_015001,Spste.TSs11.04G150010.1,hypothetical protein,"COG:Q,EggNog:ENOG503GFQ9,MEROPS:MER0015589",
Ss04,67124495,67133758,-,AYBTSS11_015002,Spste.TSs11.04G150020.1,hypothetical protein,"EggNog:ENOG503GAGK,COG:T",
Ss04,67149780,67156520,-,AYBTSS11_015003,ALMT9_2,Aluminum-activated malate transporter 9,"COG:S,EggNog:ENOG503GCE3",ALMT
Ss04,67156807,67157508,+,AYBTSS11_015004,Spste.TSs11.04G150040.1,hypothetical protein,,
Ss04,67158492,67160135,-,AYBTSS11_015005,Spste.TSs11.04G150050.1,hypothetical protein,"EggNog:ENOG503GKEE,COG:S",
Ss04,67160855,67162756,-,AYBTSS11_015006,Spste.TSs11.04G150060.1,hypothetical protein,EggNog:ENOG503GIJR,
Ss04,67179732,67180307,-,AYBTSS11_015007,Spste.TSs11.04G150070.1,hypothetical protein,"EggNog:ENOG503GJVI,COG:A",
Ss04,67181059,67187292,-,AYBTSS11_015008,Spste.TSs11.04G150080.1,hypothetical protein,,
Ss04,67198519,67203612,+,AYBTSS11_015009,Spste.TSs11.04G150090.1,hypothetical protein,"COG:J,EggNog:ENOG503GAIX",
Ss04,67205691,67208589,-,AYBTSS11_015010,SYP81,Syntaxin-81,"COG:U,EggNog:ENOG503GDIY",
Ss04,67211069,67212028,+,AYBTSS11_015011,Spste.TSs11.04G150110.1,hypothetical protein,"COG:K,EggNog:ENOG503GJHQ",
Ss04,67213700,67219019,-,AYBTSS11_015012,CCR45,Carbon catabolite repressor protein 4 5,"EggNog:ENOG503G78E,COG:K,BUSCO:EOG09360AC9",
Ss04,67225037,67227389,+,AYBTSS11_015013,Spste.TSs11.04G150130.1,hypothetical protein,"COG:K,EggNog:ENOG503G9MY",
Ss04,67236867,67237377,-,AYBTSS11_015014,Spste.TSs11.04G150140.1,hypothetical protein,"EggNog:ENOG503GJDM,COG:C",
Ss04,67238418,67239797,-,AYBTSS11_015015,Spste.TSs11.04G150150.1,hypothetical protein,"COG:S,EggNog:ENOG503GDS8",
Ss04,67240025,67249489,+,AYBTSS11_015016,Spste.TSs11.04G150160.1,hypothetical protein,"COG:Z,EggNog:ENOG503G9BN",
Ss04,67254385,67255257,-,AYBTSS11_015017,Spste.TSs11.04G150170.1,hypothetical protein,EggNog:ENOG503GJ0N,
Ss04,67264329,67267951,-,AYBTSS11_015018,Spste.TSs11.04G150180.1,hypothetical protein,"COG:S,EggNog:ENOG503GCQX",
Ss04,67272549,67274733,+,AYBTSS11_015019,Spste.TSs11.04G150190.1,hypothetical protein,"EggNog:ENOG503GFWG,COG:K",
Ss04,67278024,67281488,+,AYBTSS11_015020,Spste.TSs11.04G150200.1,hypothetical protein,"MEROPS:MER0036049,COG:I,EggNog:ENOG503G92D",
Ss04,67290588,67297821,-,AYBTSS11_015021,NTMC2T3_2,AT3g18370/MYF24_8,"COG:S,EggNog:ENOG503G9FU",
Ss04,67298186,67302660,-,AYBTSS11_015022,Spste.TSs11.04G150220.1,hypothetical protein,,
Ss04,67302856,67303326,+,AYBTSS11_015023,Spste.TSs11.04G150230.1,hypothetical protein,"EggNog:ENOG503GHXC,COG:S",
Ss04,67309087,67315073,-,AYBTSS11_015024,Spste.TSs11.04G150240.1,hypothetical protein,"COG:S,EggNog:ENOG503G8DQ",
Ss04,67315891,67320213,-,AYBTSS11_015025,Spste.TSs11.04G150250.1,hypothetical protein,,
Ss04,67322124,67323701,-,AYBTSS11_015026,Spste.TSs11.04G150260.1,hypothetical protein,"COG:K,EggNog:ENOG503GD77",
Ss04,67334299,67335546,+,AYBTSS11_015027,Spste.TSs11.04G150270.1,hypothetical protein,"EggNog:ENOG503GFRJ,COG:K",
Ss04,67337158,67339572,+,AYBTSS11_015028,RPS7_3,40S ribosomal protein,"COG:J,EggNog:ENOG503G7FK",
Ss04,67340494,67343616,-,AYBTSS11_015029,Spste.TSs11.04G150290.1,hypothetical protein,"BUSCO:EOG09360D08,EggNog:ENOG503G8CH,COG:T",
Ss04,67347152,67353180,+,AYBTSS11_015030,AMSH1,AMSH-like ubiquitin thioesterase 1,"MEROPS:MER0023131,EggNog:ENOG503G9P3,COG:T",
Ss04,67357262,67357999,+,AYBTSS11_015031,Spste.TSs11.04G150310.1,hypothetical protein,EggNog:ENOG503GIZM,
Ss04,67362234,67363694,-,AYBTSS11_015032,Spste.TSs11.04G150320.1,hypothetical protein,"COG:S,EggNog:ENOG503GJEX",
Ss04,67366132,67376046,-,AYBTSS11_015033,Spste.TSs11.04G150330.1,hypothetical protein,"EggNog:ENOG503G8ZR,COG:O",
Ss04,67384861,67388714,+,AYBTSS11_015034,Spste.TSs11.04G150340.1,hypothetical protein,"COG:S,EggNog:ENOG503GGN6",
Ss04,67404505,67405738,+,AYBTSS11_015035,Spste.TSs11.04G150350.1,hypothetical protein,,
Ss04,67413693,67418117,+,AYBTSS11_015036,Spste.TSs11.04G150360.1,hypothetical protein,"EggNog:ENOG503G8GN,COG:S",
Ss04,67434830,67437865,+,AYBTSS11_015037,Spste.TSs11.04G150370.1,hypothetical protein,"EggNog:ENOG503G7FA,COG:T",
Ss04,67447802,67448908,+,AYBTSS11_015038,Spste.TSs11.04G150380.1,hypothetical protein,"COG:T,EggNog:ENOG503GARC",
Ss04,67451600,67454267,+,AYBTSS11_015039,Spste.TSs11.04G150390.1,hypothetical protein,"COG:T,EggNog:ENOG503GARC",
Ss04,67454774,67455936,-,AYBTSS11_015040,Spste.TSs11.04G150400.1,hypothetical protein,,
Ss04,67455975,67459795,+,AYBTSS11_015041,Spste.TSs11.04G150410.1,hypothetical protein,"EggNog:ENOG503G7FA,COG:T",
Ss04,67459843,67461904,-,AYBTSS11_015042,Spste.TSs11.04G150420.1,hypothetical protein,,
Ss04,67462471,67463268,+,AYBTSS11_015043,Spste.TSs11.04G150430.1,hypothetical protein,"COG:T,EggNog:ENOG503GARC",
Ss04,67475861,67476790,+,AYBTSS11_015044,Spste.TSs11.04G150440.1,hypothetical protein,"EggNog:ENOG503G7FA,COG:T",
Ss04,67483462,67485401,-,AYBTSS11_015045,Spste.TSs11.04G150450.1,hypothetical protein,,
Ss04,67489368,67491546,-,AYBTSS11_015046,Spste.TSs11.04G150460.1,hypothetical protein,"COG:S,EggNog:ENOG503GD23",
Ss04,67494751,67498767,+,AYBTSS11_015047,Spste.TSs11.04G150470.1,hypothetical protein,"EggNog:ENOG503G7FA,COG:T",
Ss04,67529104,67534445,-,AYBTSS11_015048,Spste.TSs11.04G150480.1,hypothetical protein,"EggNog:ENOG503GXTI,COG:T",
Ss04,67534921,67536940,-,AYBTSS11_015049,Spste.TSs11.04G150490.1,hypothetical protein,"EggNog:ENOG503GXTI,COG:T",
Ss04,67537886,67540430,-,AYBTSS11_015050,Spste.TSs11.04G150500.1,hypothetical protein,"EggNog:ENOG503GXTI,COG:T",
Ss04,67541048,67547355,+,AYBTSS11_015051,Spste.TSs11.04G150510.1,hypothetical protein,"EggNog:ENOG503G8M3,COG:T",
Ss04,67548434,67549402,+,AYBTSS11_015052,Spste.TSs11.04G150520.1,hypothetical protein,"COG:T,EggNog:ENOG503GARC",
Ss04,67555239,67556790,+,AYBTSS11_015053,Spste.TSs11.04G150530.1,hypothetical protein,"COG:T,EggNog:ENOG503GARC",
Ss04,67556811,67563723,+,AYBTSS11_015054,Spste.TSs11.04G150540.1,hypothetical protein,"EggNog:ENOG503G7FA,COG:T",
Ss04,67565467,67568726,+,AYBTSS11_015055,Spste.TSs11.04G150550.1,hypothetical protein,"EggNog:ENOG503G7FA,COG:T",
Ss04,67571359,67574550,+,AYBTSS11_015056,Spste.TSs11.04G150560.1,hypothetical protein,"EggNog:ENOG503G7FA,COG:T",
Ss04,67576355,67583690,-,AYBTSS11_015057,Spste.TSs11.04G150570.1,hypothetical protein,"EggNog:ENOG503G8M3,COG:T",
Ss04,67583866,67591637,-,AYBTSS11_015058,Spste.TSs11.04G150580.1,hypothetical protein,"EggNog:ENOG503G8M3,COG:T",
Ss04,67592255,67594788,+,AYBTSS11_015059,Spste.TSs11.04G150590.1,hypothetical protein,"EggNog:ENOG503GXTI,COG:T",
Ss04,67595904,67596617,-,AYBTSS11_015060,Spste.TSs11.04G150600.1,hypothetical protein,,
Ss04,67596638,67599244,+,AYBTSS11_015061,Spste.TSs11.04G150610.1,hypothetical protein,"EggNog:ENOG503GXTI,COG:T",
Ss04,67603913,67615149,+,AYBTSS11_015062,NACK1,Kinesin-like protein nack1,"COG:Z,EggNog:ENOG503GA7X",
Ss04,67617140,67621852,-,AYBTSS11_015063,Spste.TSs11.04G150630.1,hypothetical protein,"COG:S,EggNog:ENOG503GKD4",
Ss04,67622381,67623696,-,AYBTSS11_015064,Spste.TSs11.04G150640.1,hypothetical protein,"EggNog:ENOG503GERA,COG:S",
Ss04,67627297,67628993,+,AYBTSS11_015065,Spste.TSs11.04G150650.1,hypothetical protein,"COG:U,EggNog:ENOG503GIF0",
Ss04,67630610,67631159,+,AYBTSS11_015066,Spste.TSs11.04G150660.1,hypothetical protein,EggNog:ENOG503GKTD,
Ss04,67632070,67632150,+,AYBTSS11_015067,Spste.TSs11.04G150670.1,,,
Ss04,67634553,67636181,+,AYBTSS11_015068,Spste.TSs11.04G150680.1,hypothetical protein,"COG:Q,EggNog:ENOG503GFY7",
Ss04,67636800,67638025,-,AYBTSS11_015069,Spste.TSs11.04G150690.1,hypothetical protein,EggNog:ENOG503GRG3,
Ss04,67643231,67648408,+,AYBTSS11_015070,Spste.TSs11.04G150700.1,hypothetical protein,"EggNog:ENOG503GCU3,COG:O",
Ss04,67650697,67655180,-,AYBTSS11_015071,Spste.TSs11.04G150710.1,hypothetical protein,"COG:S,EggNog:ENOG503GNHC,MEROPS:MER0208801",
Ss04,67656562,67658752,-,AYBTSS11_015072,Spste.TSs11.04G150720.1,hypothetical protein,"COG:S,EggNog:ENOG503G7K6",
Ss04,67664743,67665090,+,AYBTSS11_015073,Spste.TSs11.04G150730.1,hypothetical protein,EggNog:ENOG503GMU1,
Ss04,67669112,67670596,+,AYBTSS11_015074,Spste.TSs11.04G150740.1,hypothetical protein,"EggNog:ENOG503GM6M,COG:L",
Ss04,67671311,67676625,-,AYBTSS11_015075,Spste.TSs11.04G150750.1,hypothetical protein,,
Ss04,67699479,67701332,-,AYBTSS11_015076,Spste.TSs11.04G150760.1,hypothetical protein,,
Ss04,67748927,67753745,+,AYBTSS11_015077,Spste.TSs11.04G150770.1,hypothetical protein,,
Ss04,67760744,67766272,-,AYBTSS11_015078,PAPS1_2,Nuclear poly(A) polymerase 1,"EggNog:ENOG503G7CK,COG:A",
Ss04,67766671,67771459,-,AYBTSS11_015079,Spste.TSs11.04G150790.1,hypothetical protein,,
Ss04,67771554,67772147,-,AYBTSS11_015080,Spste.TSs11.04G150800.1,hypothetical protein,EggNog:ENOG503GDJW,
Ss04,67772581,67773123,-,AYBTSS11_015081,Spste.TSs11.04G150810.1,hypothetical protein,EggNog:ENOG503GDJW,
Ss04,67776388,67782832,-,AYBTSS11_015082,CP2_2,2-oxoglutarate and iron-dependent oxygenase domain-containing protein cp2,"COG:O,EggNog:ENOG503GF40",
Ss04,67784698,67788977,+,AYBTSS11_015083,Spste.TSs11.04G150830.1,hypothetical protein,"EggNog:ENOG503GFY0,COG:T",
Ss04,67791349,67793316,+,AYBTSS11_015084,Spste.TSs11.04G150840.1,hypothetical protein,"EggNog:ENOG503G768,COG:S",
Ss04,67798175,67806149,+,AYBTSS11_015085,DTX16_1,Protein DETOXIFICATION 16,"EggNog:ENOG503G8C8,COG:V",MATE
Ss04,67809459,67812002,+,AYBTSS11_015086,DTX16_2,Protein DETOXIFICATION 16,"EggNog:ENOG503G8C8,COG:V",MATE
Ss04,67818925,67823372,+,AYBTSS11_015087,Spste.TSs11.04G150870.1,hypothetical protein,"EggNog:ENOG503G8C8,COG:V",
Ss04,67823414,67826827,+,AYBTSS11_015088,Spste.TSs11.04G150880.1,hypothetical protein,"EggNog:ENOG503G8C8,COG:V",
Ss04,67829690,67833982,+,AYBTSS11_015089,Spste.TSs11.04G150890.1,hypothetical protein,"EggNog:ENOG503G8C8,COG:V",
Ss04,67835764,67840467,-,AYBTSS11_015090,CDKD1_2,Cyclin-dependent kinase D-1,"COG:T,EggNog:ENOG503G7CX",
Ss04,67841527,67841599,-,AYBTSS11_015091,Spste.TSs11.04G150910.1,,,
Ss04,67847998,67851839,+,AYBTSS11_015092,BGLU44,Beta-glucosidase 44,"COG:G,EggNog:ENOG503GDAS,CAZy:GH1",
Ss04,67852063,67856912,-,AYBTSS11_015093,Spste.TSs11.04G150930.1,hypothetical protein,"EggNog:ENOG503G8NY,COG:L",
Ss04,67858257,67868370,+,AYBTSS11_015094,Spste.TSs11.04G150940.1,hypothetical protein,"EggNog:ENOG503GBGT,COG:K",
Ss04,67869447,67870786,+,AYBTSS11_015095,Spste.TSs11.04G150950.1,hypothetical protein,"EggNog:ENOG503GAXB,COG:T",
Ss04,67871764,67874937,-,AYBTSS11_015096,Spste.TSs11.04G150960.1,hypothetical protein,,
Ss04,67887206,67889337,+,AYBTSS11_015097,Spste.TSs11.04G150970.1,hypothetical protein,"COG:K,EggNog:ENOG503GG6M",
Ss04,67889734,67895136,+,AYBTSS11_015098,Spste.TSs11.04G150980.1,hypothetical protein,"COG:S,CAZy:GH152,EggNog:ENOG503GB2Z",
Ss04,67896225,67896755,+,AYBTSS11_015099,Spste.TSs11.04G150990.1,hypothetical protein,"EggNog:ENOG503GJIV,COG:T",
Ss04,67900010,67902614,+,AYBTSS11_015100,RABA6B,Ras- protein RABA6b,"EggNog:ENOG503GG35,COG:U",
Ss04,67903856,67913274,-,AYBTSS11_015101,SIS8_2,Probable serine/threonine-protein kinase sis8,"EggNog:ENOG503G8KY,COG:T",
Ss04,67913318,67918505,-,AYBTSS11_015102,Spste.TSs11.04G151020.1,hypothetical protein,"EggNog:ENOG503G8KY,COG:T",
Ss04,67925048,67927478,-,AYBTSS11_015103,Spste.TSs11.04G151030.1,hypothetical protein,"COG:S,EggNog:ENOG50KOG4197",
Ss04,67928017,67933342,-,AYBTSS11_015104,Spste.TSs11.04G151040.1,hypothetical protein,"EggNog:ENOG503GI3B,COG:B",
Ss04,67952501,67957487,+,AYBTSS11_015105,MPK9_2,Mitogen-activated protein kinase 9,"EggNog:ENOG503GG4M,COG:T",
Ss04,67960011,67963427,-,AYBTSS11_015106,Spste.TSs11.04G151060.1,hypothetical protein,"EggNog:ENOG503GFHC,COG:S",
Ss04,67969892,67970287,-,AYBTSS11_015107,Spste.TSs11.04G151070.1,hypothetical protein,"EggNog:ENOG503GFHC,COG:S",
Ss04,67978170,67979753,+,AYBTSS11_015108,Spste.TSs11.04G151080.1,hypothetical protein,"EggNog:ENOG503GGGX,COG:J",
Ss04,67984603,67988636,+,AYBTSS11_015109,Spste.TSs11.04G151090.1,hypothetical protein,"EggNog:ENOG503GD46,COG:O",
Ss04,67990310,67992324,+,AYBTSS11_015110,CAR4_3,Protein C2-DOMAIN ABA-RELATED 4,"COG:S,EggNog:ENOG503GB0A",
Ss04,67997160,68003283,+,AYBTSS11_015111,PIN1_3,Peptidyl-prolyl cis-trans isomerase NIMA-interacting protein 1,"COG:P,EggNog:ENOG503GFSN",
Ss04,68047828,68053151,+,AYBTSS11_015112,Spste.TSs11.04G151120.1,hypothetical protein,"COG:I,EggNog:ENOG503G8XR",
Ss04,68058153,68062207,+,AYBTSS11_015113,Spste.TSs11.04G151130.1,hypothetical protein,"COG:S,EggNog:ENOG503GGNY",
Ss04,68063680,68065788,-,AYBTSS11_015114,Spste.TSs11.04G151140.1,hypothetical protein,"COG:G,EggNog:ENOG503GAXG",
Ss04,68067483,68102556,-,AYBTSS11_015115,Spste.TSs11.04G151150.1,hypothetical protein,"EggNog:ENOG503GEGM,COG:G,BUSCO:EOG093600DJ",
Ss04,68105501,68109318,+,AYBTSS11_015116,Spste.TSs11.04G151160.1,hypothetical protein,,
Ss04,68115360,68116111,+,AYBTSS11_015117,Spste.TSs11.04G151170.1,hypothetical protein,EggNog:ENOG503GHWH,
Ss04,68119472,68121106,-,AYBTSS11_015118,Spste.TSs11.04G151180.1,hypothetical protein,,
Ss04,68129267,68133691,-,AYBTSS11_015119,SURF1,Surfeit locus protein 1,"EggNog:ENOG503GG9C,COG:C",
Ss04,68135157,68136461,-,AYBTSS11_015120,Spste.TSs11.04G151200.1,hypothetical protein,"COG:S,EggNog:ENOG503GKMI",
Ss04,68139628,68144769,-,AYBTSS11_015121,Spste.TSs11.04G151210.1,hypothetical protein,"COG:S,EggNog:ENOG503GGWU",
Ss04,68150385,68161288,+,AYBTSS11_015122,IREH1,Probable serine/threonine protein kinase ireh1,"COG:T,EggNog:ENOG503G8FJ",
Ss04,68165360,68167894,-,AYBTSS11_015123,RKL1_2,Probable inactive receptor kinase At1g48480,"EggNog:ENOG503GDE6,COG:T",
Ss04,68172930,68178252,-,AYBTSS11_015124,Spste.TSs11.04G151240.1,hypothetical protein,"COG:O,BUSCO:EOG093608PC,EggNog:ENOG503GBY2",
Ss04,68181692,68182159,+,AYBTSS11_015125,Spste.TSs11.04G151250.1,hypothetical protein,"COG:S,EggNog:ENOG503GH60",
Ss04,68183210,68185353,-,AYBTSS11_015126,Spste.TSs11.04G151260.1,hypothetical protein,"COG:S,EggNog:ENOG503GARQ",
Ss04,68192782,68200982,-,AYBTSS11_015127,Spste.TSs11.04G151270.1,hypothetical protein,"EggNog:ENOG503GI9X,COG:T",
Ss04,68223741,68223956,+,AYBTSS11_015128,Spste.TSs11.04G151280.1,hypothetical protein,EggNog:ENOG503GM2F,
Ss04,68223984,68228115,-,AYBTSS11_015129,Spste.TSs11.04G151290.1,hypothetical protein,,
Ss04,68229110,68231938,-,AYBTSS11_015130,Spste.TSs11.04G151300.1,hypothetical protein,"COG:E,EggNog:ENOG503GG2Q",
Ss04,68250599,68254613,+,AYBTSS11_015131,Spste.TSs11.04G151310.1,hypothetical protein,"COG:H,EggNog:ENOG503GA7G",
Ss04,68263634,68267347,+,AYBTSS11_015132,NFXL1_2,NF-X1-type zinc finger protein nfxl1,"EggNog:ENOG503GE3T,COG:O",
Ss04,68283713,68286465,+,AYBTSS11_015133,FCL1,Homeobox protein knotted-1-like,"COG:K,EggNog:ENOG503GKSX",
Ss04,68308270,68308737,-,AYBTSS11_015134,Spste.TSs11.04G151340.1,hypothetical protein,,
Ss04,68323589,68325031,-,AYBTSS11_015135,Spste.TSs11.04G151350.1,hypothetical protein,"EggNog:ENOG503GGGX,COG:J",
Ss04,68336775,68340842,-,AYBTSS11_015136,PYD1,Dihydropyrimidine dehydrogenase [NADP(+)],"EggNog:ENOG503GDIQ,COG:F,BUSCO:EOG093609GV",
Ss04,68348563,68349507,-,AYBTSS11_015137,Spste.TSs11.04G151370.1,hypothetical protein,"EggNog:ENOG503GES5,COG:T",
Ss04,68361272,68362231,-,AYBTSS11_015138,Spste.TSs11.04G151380.1,hypothetical protein,"EggNog:ENOG503GES5,COG:T",
Ss04,68366469,68367349,+,AYBTSS11_015139,Spste.TSs11.04G151390.1,hypothetical protein,,
Ss04,68368722,68369681,-,AYBTSS11_015140,Spste.TSs11.04G151400.1,hypothetical protein,"EggNog:ENOG503GES5,COG:T",
Ss04,68373259,68374767,-,AYBTSS11_015141,Spste.TSs11.04G151410.1,hypothetical protein,"COG:J,EggNog:ENOG503G7P8",
Ss04,68378889,68383523,+,AYBTSS11_015142,Spste.TSs11.04G151420.1,hypothetical protein,EggNog:ENOG503GIIZ,
Ss04,68387680,68388993,-,AYBTSS11_015143,Spste.TSs11.04G151430.1,hypothetical protein,"COG:G,EggNog:ENOG503G7GF",
Ss04,68390913,68396226,+,AYBTSS11_015144,Spste.TSs11.04G151440.1,hypothetical protein,,
Ss04,68396315,68404331,-,AYBTSS11_015145,Spste.TSs11.04G151450.1,hypothetical protein,"EggNog:ENOG503GCNX,COG:D,COG:T",
Ss04,68406577,68408676,-,AYBTSS11_015146,Spste.TSs11.04G151460.1,hypothetical protein,"COG:K,EggNog:ENOG503GCRG,BUSCO:EOG09360NKX",
Ss04,68410594,68413872,+,AYBTSS11_015147,Spste.TSs11.04G151470.1,hypothetical protein,"EggNog:ENOG503G7BR,COG:S",
Ss04,68416297,68419854,-,AYBTSS11_015148,Spste.TSs11.04G151480.1,hypothetical protein,"COG:I,EggNog:ENOG503GEJG,MEROPS:MER0036051",
Ss04,68421578,68424396,-,AYBTSS11_015149,MTERF5,"Transcription termination factor mterf5, chloroplastic","COG:K,EggNog:ENOG503GAEE,BUSCO:EOG09360BTH",
Ss04,68426401,68430074,+,AYBTSS11_015150,Spste.TSs11.04G151500.1,hypothetical protein,"COG:U,EggNog:ENOG503G95A",
Ss04,68432550,68439670,-,AYBTSS11_015151,Spste.TSs11.04G151510.1,hypothetical protein,"COG:K,EggNog:ENOG503GDT2",
Ss04,68450614,68457584,+,AYBTSS11_015152,Spste.TSs11.04G151520.1,hypothetical protein,"COG:S,EggNog:ENOG503G8YU",
Ss04,68462476,68464895,+,AYBTSS11_015153,Spste.TSs11.04G151530.1,hypothetical protein,"EggNog:ENOG503GCP1,COG:U",
Ss04,68468466,68469619,-,AYBTSS11_015154,Spste.TSs11.04G151540.1,hypothetical protein,,
Ss04,68469685,68471634,-,AYBTSS11_015155,Spste.TSs11.04G151550.1,hypothetical protein,"COG:S,EggNog:ENOG50KOG4197",
Ss04,68476520,68480420,-,AYBTSS11_015156,Spste.TSs11.04G151560.1,hypothetical protein,"COG:S,EggNog:ENOG503GAF5",
Ss04,68482078,68490286,+,AYBTSS11_015157,Spste.TSs11.04G151570.1,hypothetical protein,"COG:G,EggNog:ENOG503GAMX",
Ss04,68496610,68497110,-,AYBTSS11_015158,Spste.TSs11.04G151580.1,hypothetical protein,"COG:S,EggNog:ENOG503GI4B",
Ss04,68506869,68507717,-,AYBTSS11_015159,Spste.TSs11.04G151590.1,hypothetical protein,"COG:S,EggNog:ENOG503GCIB",
